Open time,Open price,High,Low,Close price,Volume,Close time,Quote asset volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore."
1722282900000,381135.00000000,381161.00000000,380550.00000000,380619.00000000,0.31963000,1722283199999,121708.69346000,125,0.04795000,18261.69568000,0
1722283200000,380799.00000000,381250.00000000,380388.00000000,380977.00000000,0.21214000,1722283499999,80799.85576000,61,0.13635000,51948.23720000,0
1722283500000,380933.00000000,381174.00000000,380775.00000000,380888.00000000,0.12497000,1722283799999,47621.04355000,77,0.09817000,37410.30175000,0
1722283800000,380888.00000000,380933.00000000,380706.00000000,380840.00000000,0.07666000,1722284099999,29191.02594000,58,0.02716000,10342.95587000,0
1722284100000,380787.00000000,380787.00000000,380300.00000000,380514.00000000,0.12351000,1722284399999,46988.93741000,76,0.08011000,30473.88781000,0
1722284400000,380641.00000000,380641.00000000,380131.00000000,380279.00000000,0.25155000,1722284699999,95676.13988000,52,0.16526000,62855.75961000,0
1722285900000,380982.00000000,380982.00000000,380413.00000000,380436.00000000,0.04247000,1722286199999,16172.66497000,40,0.03134000,11935.55472000,0
1722286200000,380414.00000000,380705.00000000,380237.00000000,380560.00000000,0.11285000,1722286499999,42930.84821000,75,0.04270000,16247.99111000,0
1722286500000,380543.00000000,380695.00000000,380538.00000000,380637.00000000,0.05421000,1722286799999,20632.23975000,42,0.01769000,6733.86935000,0
1722286800000,380687.00000000,381011.00000000,380387.00000000,380469.00000000,0.18208000,1722287099999,69322.68773000,73,0.16033000,61045.29775000,0
1722287100000,380469.00000000,380469.00000000,379563.00000000,379694.00000000,0.49207000,1722287399999,187041.53926000,138,0.04781000,18159.72679000,0
1722287400000,379673.00000000,379744.00000000,379500.00000000,379588.00000000,0.19775000,1722287699999,75057.64164000,78,0.02077000,7884.35895000,0
1722287700000,379501.00000000,379584.00000000,379004.00000000,379501.00000000,0.60134000,1722287999999,228109.16901000,108,0.16478000,62507.27292000,0
1722288000000,379341.00000000,379474.00000000,378810.00000000,379093.00000000,0.89156000,1722288299999,337899.18700000,121,0.06853000,25970.13814000,0
1722288300000,379064.00000000,379950.00000000,379064.00000000,379700.00000000,0.16701000,1722288599999,63386.56753000,64,0.16040000,60878.43550000,0
1722288600000,379699.00000000,380098.00000000,379628.00000000,380098.00000000,0.06328000,1722288899999,24031.46169000,64,0.02656000,10090.62376000,0
1722288900000,380130.00000000,380803.00000000,380130.00000000,380724.00000000,0.27490000,1722289199999,104602.16802000,73,0.25081000,95434.21792000,0
1722289200000,380835.00000000,380966.00000000,380641.00000000,380843.00000000,0.09078000,1722289499999,34569.98265000,55,0.02499000,9516.33872000,0
1722289500000,380956.00000000,380961.00000000,380438.00000000,380438.00000000,0.14984000,1722289799999,57040.44096000,93,0.05656000,21540.80303000,0
1722289800000,380462.00000000,380818.00000000,380171.00000000,380731.00000000,0.29426000,1722290099999,111942.48427000,72,0.17177000,65353.92007000,0
1722290100000,380800.00000000,381638.00000000,380712.00000000,381638.00000000,0.28393000,1722290399999,108201.96957000,94,0.21872000,83351.46923000,0
1722290400000,381508.00000000,381616.00000000,381155.00000000,381180.00000000,0.06918000,1722290699999,26384.44007000,56,0.03986000,15204.36543000,0
1722290700000,381181.00000000,381597.00000000,381135.00000000,381579.00000000,0.09031000,1722290999999,34440.30724000,62,0.06464000,24651.38275000,0
1722291000000,381459.00000000,381579.00000000,381400.00000000,381578.00000000,0.20480000,1722291299999,78121.18271000,67,0.04127000,15742.88320000,0
1722291300000,381579.00000000,381715.00000000,381427.00000000,381702.00000000,0.29696000,1722291599999,113312.85865000,75,0.24072000,91854.23825000,0
1722291600000,381702.00000000,381703.00000000,380989.00000000,381159.00000000,0.56408000,1722291899999,215094.26768000,99,0.07996000,30492.63401000,0
1722291900000,381083.00000000,381156.00000000,380685.00000000,380707.00000000,0.09765000,1722292199999,37203.50406000,79,0.03842000,14639.81798000,0
1722292200000,380601.00000000,380856.00000000,380004.00000000,380079.00000000,0.21278000,1722292499999,80982.58184000,110,0.09564000,36417.49885000,0
1722292500000,380105.00000000,380208.00000000,379786.00000000,380043.00000000,0.14135000,1722292799999,53714.16614000,73,0.05019000,19073.25486000,0
1722292800000,380043.00000000,380208.00000000,379896.00000000,380024.00000000,0.83768000,1722293099999,318359.17991000,124,0.76476000,290647.37954000,0
1722293100000,379897.00000000,379958.00000000,379553.00000000,379940.00000000,0.30175000,1722293399999,114617.96265000,79,0.10002000,37992.28945000,0
1722293400000,379844.00000000,379879.00000000,379323.00000000,379500.00000000,0.40680000,1722293699999,154371.56886000,65,0.18943000,71884.12634000,0
1722293700000,379419.00000000,379924.00000000,379376.00000000,379885.00000000,0.32292000,1722293999999,122595.69280000,70,0.23048000,87491.23223000,0
1722294000000,379845.00000000,379938.00000000,379459.00000000,379846.00000000,0.44951000,1722294299999,170687.84629000,93,0.25842000,98122.23734000,0
1722294300000,379860.00000000,380098.00000000,378802.00000000,378802.00000000,0.37477000,1722294599999,142102.21801000,112,0.08200000,31096.88779000,0
1722294600000,378854.00000000,379033.00000000,377000.00000000,377205.00000000,1.42534000,1722294899999,538473.53509000,322,0.62365000,235509.12158000,0
1722294900000,377111.00000000,377833.00000000,376400.00000000,377667.00000000,1.54215000,1722295199999,581386.68227000,263,0.71413000,269250.91199000,0
1722295200000,377664.00000000,378595.00000000,377611.00000000,378408.00000000,0.83485000,1722295499999,315658.77311000,173,0.50574000,191223.20503000,0
1722295500000,378508.00000000,378899.00000000,378438.00000000,378811.00000000,0.17165000,1722295799999,64995.64934000,104,0.09406000,35614.34733000,0
1722295800000,378852.00000000,379009.00000000,378745.00000000,378912.00000000,0.07405000,1722296099999,28053.84121000,80,0.02135000,8089.23642000,0
1722296100000,378937.00000000,378937.00000000,377834.00000000,378401.00000000,1.08382000,1722296399999,410403.24441000,197,0.17433000,65999.25595000,0
1722296400000,378272.00000000,378500.00000000,377200.00000000,377473.00000000,0.79354000,1722296699999,299620.81356000,174,0.23514000,88802.75656000,0
