Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722295800000,18813.69610000,18819.09810000,18731.00100000,18760.05360000,1722297600000,3.97753988,74738.85250173,121,3.38328636,63575.39548631
1722297600000,18760.05360000,18747.43380000,18530.30020000,18697.56810000,1722299400000,4.72811097,87922.09500615,96,0.41624333,7780.26817085
1722299400000,18697.56810000,18823.39990000,18681.87420000,18813.89350000,1722301200000,1.62769741,30538.06072843,174,1.16976554,21942.76044788
1722301200000,18813.89350000,18900.29990000,18806.18030000,18809.62790000,1722303000000,0.72580250,13677.38498930,80,0.33310152,6278.87808649
1722303000000,18809.62790000,18849.67680000,18651.70000000,18702.97390000,1722304800000,1.25829872,23612.27021683,92,0.16352858,3073.27982426
1722304800000,18702.97390000,18762.49990000,18581.28470000,18600.54890000,1722306600000,3.89503208,72886.29220293,57,3.64320606,68190.87386559
1722306600000,18600.54890000,18721.73560000,18618.60230000,18691.21310000,1722308400000,4.35553666,81421.29555698,130,3.73529397,69852.01729561
1722308400000,18691.21310000,18758.69990000,18732.70010000,18750.00000000,1722310200000,0.23080391,4326.32021169,26,0.10558669,1980.65787596
1722310200000,18750.00000000,18834.18990000,18758.69980000,18796.58450000,1722312000000,0.54671399,10260.24921367,18,0.45175845,8475.35997904
1722312000000,18796.58450000,18796.75280000,18758.60890000,18768.00230000,1722313800000,0.10571369,1985.72734323,21,0.04467965,838.81183906
1722313800000,18768.00230000,18760.31510000,18718.75270000,18749.06350000,1722315600000,0.24344776,4562.36877518,50,0.14044342,2631.19205067
1722315600000,18749.06350000,18764.34050000,18670.35230000,18691.77730000,1722317400000,0.21265742,3985.88873902,49,0.12166775,2279.83612764
1722317400000,18691.77730000,18737.83350000,18664.42500000,18707.84690000,1722319200000,0.14390912,2687.55494788,41,0.01746053,326.44497550
1722319200000,18707.84690000,18787.53490000,18729.61090000,18787.53490000,1722321000000,0.04281842,803.36392523,7,0.03831399,718.81335299
1722321000000,18787.53490000,18816.46530000,18777.44290000,18813.74770000,1722322800000,0.19017136,3573.62625435,47,0.12243918,2300.31464184
1722322800000,18813.74770000,18919.49990000,18809.98710000,18919.49990000,1722324600000,0.39934450,7524.48431813,44,0.28497252,5372.24040476
1722324600000,18919.49990000,18906.78220000,18889.08920000,18906.78220000,1722326400000,0.05457058,1031.30530958,5,0.05457058,1031.30530958
1722326400000,18906.78220000,18958.00000000,18904.88510000,18922.75270000,1722328200000,0.15738860,2978.98815522,39,0.05571609,1054.80033402
1722328200000,18922.75270000,18913.29990000,18871.34630000,18873.98110000,1722330000000,0.18419085,3481.89448510,42,0.06246534,1180.42959674
