Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722285000000,18787.07940000,18815.67770000,18734.83850000,18788.37540000,1722286800000,0.83865225,15755.00554229,60,0.61762786,11601.99186829
1722286800000,18788.37540000,18792.56350000,18695.10120000,18753.03690000,1722288600000,8.50591668,159382.97828114,119,0.11030606,2067.92216157
1722288600000,18753.03690000,18909.99990000,18753.05720000,18882.83260000,1722290400000,5.54246111,104196.32465405,186,1.36698511,25710.28417129
1722290400000,18882.83260000,18958.00000000,18848.44910000,18896.91290000,1722292200000,0.68471632,12943.78702869,66,0.26979455,5102.92972445
1722292200000,18896.91290000,18898.89930000,18795.09280000,18795.09280000,1722294000000,0.85953046,16202.27361712,92,0.36690640,6924.58694851
1722294000000,18795.09280000,18840.35770000,18718.18850000,18813.69610000,1722295800000,0.73877838,13871.27143801,78,0.53921507,10121.88812487
