Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722285000000,1053.98820000,1056.26360000,1053.22310000,1053.22310000,1722285900000,3.33829917,3523.39522991,18,2.34857680,2480.24403744
1722285900000,1053.22310000,1052.35930000,1050.20000000,1050.20000000,1722286800000,0.86601677,910.42513355,21,0.69121571,726.69869015
1722286800000,1050.20000000,1051.08470000,1041.42030000,1043.97360000,1722287700000,68.99763620,72268.79952663,63,13.69885560,14341.61685791
1722287700000,1043.97360000,1045.80810000,1040.92220000,1043.67180000,1722288600000,23.06873135,24054.09573272,49,7.99871373,8358.13939828
1722288600000,1043.67180000,1047.08720000,1039.37760000,1039.52240000,1722289500000,23.30957026,24241.36861319,25,2.31562586,2418.96116693
1722289500000,1039.52240000,1041.43610000,1033.04330000,1039.87890000,1722290400000,16.76051775,17375.68712799,41,10.27561741,10665.71895682
1722290400000,1039.87890000,1042.06630000,1034.65600000,1039.34350000,1722291300000,5.71720041,5932.45240830,55,1.81919141,1888.88440218
1722291300000,1039.34350000,1046.46350000,1039.39950000,1044.42550000,1722292200000,3.19262331,3331.44402079,26,2.07566011,2169.44653266
1722292200000,1044.42550000,1044.03880000,1037.93160000,1037.93160000,1722293100000,25.98878921,27065.15169560,28,25.10421173,26146.74754262
1722293100000,1037.93160000,1040.27990000,1033.74910000,1033.74910000,1722294000000,18.28430835,18958.90584084,56,17.23898630,17876.23544450
1722294000000,1033.74910000,1038.27940000,1032.73410000,1033.98100000,1722294900000,6.60369511,6832.66704362,46,2.00767668,2082.78897095
1722294900000,1033.98100000,1037.39960000,1026.20270000,1031.86760000,1722295800000,41.28279299,42522.40992098,77,23.62905718,24393.42498403
1722295800000,1031.86760000,1038.02980000,1032.08190000,1034.72440000,1722296700000,9.49673003,9846.57758668,32,9.16529333,9504.45119109
