Open time,Open price,High,Low,Close price,Volume,Close time,Quote asset volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore."
1722286800000,380687.00000000,381011.00000000,378810.00000000,379700.00000000,2.53181000,1722288599999,960816.79217000,582,0.62262000,236445.23005000,0
1722288600000,379699.00000000,381638.00000000,379628.00000000,381638.00000000,1.15699000,1722290399999,440388.50716000,451,0.74941000,285287.37273000,0
1722290400000,381508.00000000,381715.00000000,380685.00000000,380707.00000000,1.32298000,1722292199999,504556.56041000,438,0.50487000,192585.32162000,0
1722292200000,380601.00000000,380856.00000000,379323.00000000,379885.00000000,2.22328000,1722293999999,844641.15220000,521,1.43052000,543505.78127000,0
1722294000000,379845.00000000,380098.00000000,376400.00000000,378811.00000000,4.79827000,1722295799999,1813304.70411000,1067,2.27800000,860816.71106000,0
1722295800000,378852.00000000,379009.00000000,377200.00000000,377400.00000000,3.17280000,1722297599999,1199448.20220000,753,0.94895000,358601.30723000,0
