Open time,Open price,High,Low,Close price,Volume,Close time,Quote asset volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore."
1722297600000,377400.00000000,377912.00000000,373087.00000000,375365.00000000,8.18137000,1722299399999,3072322.07541000,1421,2.95654000,1110582.61894000,0
1722299400000,375387.00000000,377121.00000000,374779.00000000,377121.00000000,2.65567000,1722301199999,998663.31832000,672,1.77692000,668514.30456000,0
1722301200000,377120.00000000,378801.00000000,377017.00000000,377899.00000000,1.95089000,1722302999999,737513.84052000,576,1.25997000,476226.37637000,0
1722303000000,377899.00000000,378152.00000000,373933.00000000,374599.00000000,2.15582000,1722304799999,809814.60086000,692,1.07097000,402284.17733000,0
1722304800000,374600.00000000,376151.00000000,373157.00000000,373502.00000000,1.42877000,1722306599999,535853.79554000,546,0.82243000,308565.18026000,0
1722306600000,373427.00000000,376095.00000000,373427.00000000,375915.00000000,0.95386000,1722308399999,357684.92896000,425,0.61990000,232483.50719000,0
1722308400000,375916.00000000,377290.00000000,375730.00000000,376780.00000000,1.00341000,1722310199999,377917.36179000,320,0.31619000,119035.54462000,0
1722310200000,376878.00000000,377102.00000000,376354.00000000,376889.00000000,0.33113000,1722311999999,124743.23724000,205,0.14235000,53635.19588000,0
1722312000000,376867.00000000,377832.00000000,376487.00000000,377832.00000000,0.37575000,1722313799999,141611.02252000,143,0.26459000,99716.63366000,0
1722313800000,377803.00000000,378101.00000000,376962.00000000,378101.00000000,0.28951000,1722315599999,109321.19642000,140,0.21431000,80935.12126000,0
1722315600000,378100.00000000,378100.00000000,375800.00000000,376044.00000000,0.44738000,1722317399999,168395.78832000,147,0.22962000,86442.07673000,0
1722317400000,376019.00000000,377337.00000000,375259.00000000,376289.00000000,0.48496000,1722319199999,182553.67929000,144,0.11029000,41476.66919000,0
1722319200000,376261.00000000,377289.00000000,376198.00000000,377140.00000000,0.63068000,1722320999999,237741.05721000,96,0.22450000,84588.02291000,0
1722321000000,377290.00000000,377604.00000000,376957.00000000,377604.00000000,0.23900000,1722322799999,90160.82428000,63,0.11887000,44838.45002000,0
1722322800000,377651.00000000,378669.00000000,377651.00000000,378586.00000000,0.57742000,1722324599999,218321.32830000,99,0.37046000,140069.50591000,0
