Open time,Open price,High,Low,Close price,Volume,Close time,Quote asset volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore."
1722285900000,18794.56000000,18794.56000000,18756.85000000,18794.53000000,5.26620000,1722286799999,98871.12989100,53,2.46060000,46212.99185000,0
1722286800000,18769.29000000,18779.59000000,18727.14000000,18727.14000000,5.90020000,1722287699999,110688.61818000,63,3.21320000,60281.32364000,0
1722287700000,18726.87000000,18775.54000000,18721.34000000,18758.19000000,2.90280000,1722288599999,54405.57032900,33,1.38060000,25852.92910900,0
1722288600000,18765.54000000,18879.00000000,18758.44000000,18879.00000000,18.68660000,1722289499999,351239.61632900,87,14.95430000,281005.11423400,0
1722289500000,18873.49000000,18919.88000000,18809.45000000,18903.04000000,11.20390000,1722290399999,211327.29026700,93,4.31500000,81360.46334900,0
1722290400000,18915.40000000,18936.46000000,18866.81000000,18935.33000000,5.16930000,1722291299999,97704.54524300,53,2.02990000,38386.54515200,0
1722291300000,18924.54000000,18944.44000000,18899.40000000,18899.40000000,4.84820000,1722292199999,91728.94581900,57,2.47350000,46815.78961000,0
1722292200000,18899.68000000,18903.97000000,18850.14000000,18850.33000000,4.35630000,1722293099999,82242.39169800,59,1.41580000,26734.43478700,0
1722293100000,18850.81000000,18854.04000000,18803.13000000,18803.13000000,3.48460000,1722293999999,65603.95128100,51,0.97400000,18331.05221100,0
1722294000000,18810.01000000,18844.27000000,18780.19000000,18780.19000000,10.52180000,1722294899999,197933.53369600,97,2.95180000,55543.08986000,0
1722294900000,18785.16000000,18841.56000000,18728.54000000,18831.73000000,16.24030000,1722295799999,305244.95641800,105,7.01570000,131873.96217100,0
1722295800000,18836.95000000,18849.27000000,18756.24000000,18756.24000000,3.95460000,1722296699999,74355.10131900,72,1.21010000,22753.91164800,0
1722296700000,18753.40000000,18766.54000000,18720.80000000,18757.76000000,5.61880000,1722297599999,105331.28795600,56,2.44770000,45885.09738200,0
