Open_time,Open_price,High,Low,Close_price,Volume,Close_time,Quote_asset_volume,Trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Unused_field_ignore
1722805800000,15971.39000000,15972.98000000,15950.00000000,15966.64000000,1.96650000,1722806099999,31381.20389600,42,0.44120000,7044.09509400,0
1722806100000,15960.21000000,15975.22000000,15940.58000000,15955.14000000,6.58980000,1722806399999,105206.73004200,44,2.50370000,39985.72650900,0
1722806400000,15956.99000000,15956.99000000,15914.46000000,15950.52000000,4.16700000,1722806699999,66405.50722500,36,3.86220000,61553.46808300,0
1722806700000,15958.58000000,15959.97000000,15916.66000000,15922.42000000,9.60720000,1722806999999,153124.56955700,60,3.06010000,48758.70838300,0
