Close_time,Open_time,Open_price,High,Low,Close_price,Volume,Quote_asset_volume,Trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Unused_field_ignore,Predict,Close_datetime,symbol
1722806999999,,,,,,,,,,,,343090.98160342895,2024-08-04 18:30:00,BTCBRL
1722806699999,1722806400000,342459.0,342590.0,340892.0,341909.0,0.78534,268374.53137,233,0.43044,147092.35879,0,342801.8334856621,2024-08-04 18:25:00,BTCBRL
1722806399999,1722806100000,342488.0,343043.0,342164.0,342459.0,0.39543,135492.21321,136,0.20455,70110.06537,0,,2024-08-04 18:20:00,BTCBRL
1722806099999,1722805800000,343057.0,343083.0,342326.0,342500.0,0.64158,219835.25092,121,0.2532,86785.83069,0,,2024-08-04 18:15:00,BTCBRL
