Close_time,Open_time,Open_price,High,Low,Close_price,Volume,Quote_asset_volume,Trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Unused_field_ignore,Predict,Close_datetime,symbol
1722806999999,,,,,,,,,,,,15937.988806688967,2024-08-04 18:30:00,ETHBRL
1722806699999,1722806400000,15956.99,15956.99,15914.46,15950.52,4.167,66405.507225,36,3.8622,61553.468083,0,15937.988806688967,2024-08-04 18:25:00,ETHBRL
1722806399999,1722806100000,15960.21,15975.22,15940.58,15955.14,6.5898,105206.730042,44,2.5037,39985.726509,0,,2024-08-04 18:20:00,ETHBRL
1722806099999,1722805800000,15971.39,15972.98,15950.0,15966.64,1.9665,31381.203896,42,0.4412,7044.095094,0,,2024-08-04 18:15:00,ETHBRL
