Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722295800000,1031.86760000,1038.02980000,1028.89920000,1029.86840000,1722297600000,31.17116467,32212.32799731,72,25.68598841,26565.98006149
1722297600000,1029.86840000,1039.24770000,1026.30530000,1039.24770000,1722299400000,52.18023187,53920.94171880,73,43.42907005,44920.98652720
1722299400000,1039.24770000,1040.31810000,1032.50180000,1033.03860000,1722301200000,12.50769536,12956.61275651,83,8.58975060,8901.24423768
1722301200000,1033.03860000,1041.30550000,1032.56680000,1038.72640000,1722303000000,52.52590604,54403.26454294,78,29.54392753,30654.59838577
1722303000000,1038.72640000,1038.27580000,1021.00580000,1022.84670000,1722304800000,24.65692502,25363.27174258,83,19.59003028,20134.48465277
1722304800000,1022.84670000,1027.70940000,1014.91650000,1016.43340000,1722306600000,44.35632068,45424.45756300,62,35.23423633,36103.92037580
1722306600000,1016.43340000,1025.37810000,1016.46330000,1025.37810000,1722308400000,54.04662390,55046.17499597,43,36.54722636,37255.95212696
1722308400000,1025.37810000,1032.43440000,1024.56000000,1032.23100000,1722310200000,9.79438069,10081.65401643,36,8.79299069,9052.98066612
1722310200000,1032.23100000,1037.20410000,1031.48330000,1036.52710000,1722312000000,6.95779985,7202.24247950,22,6.95671985,7201.12847754
1722312000000,1036.52710000,1037.53610000,1031.25000000,1033.17620000,1722313800000,6.58586245,6802.42054419,29,2.22055245,2298.78391873
1722313800000,1033.17620000,1037.76270000,1033.07270000,1034.41650000,1722315600000,1.02171724,1056.43060689,13,0.60804724,629.05733994
1722315600000,1034.41650000,1046.55770000,1027.24050000,1027.24050000,1722317400000,10.44692576,10821.54951131,29,3.69124414,3826.24007709
1722317400000,1027.24050000,1033.43960000,1026.93400000,1026.94290000,1722319200000,0.98448734,1013.75057602,7,0.74682872,769.68917691
1722319200000,1026.94290000,1034.20480000,1030.99530000,1031.29100000,1722321000000,8.27055092,8528.40419005,7,7.74474597,7986.27201280
1722321000000,1031.29100000,1036.40490000,1031.35470000,1031.35470000,1722322800000,1.58523391,1639.15688900,10,1.44071875,1490.02388227
1722322800000,1031.35470000,1035.70180000,1032.11360000,1033.17620000,1722324600000,2.82840961,2926.61221972,21,0.70610829,730.36220789
1722324600000,1033.17620000,1038.07860000,1036.92150000,1036.92160000,1722326400000,1.49600632,1552.36743939,6,1.49600632,1552.36743939
1722326400000,1036.92160000,1033.31970000,1028.81630000,1033.31970000,1722328200000,4.65977253,4809.36922639,19,1.66536823,1719.88447755
1722328200000,1033.31970000,1031.89190000,1026.01220000,1029.38750000,1722330000000,4.15580087,4287.24932871,10,4.10372087,4233.81461333
1722330000000,1029.38750000,1032.73770000,1026.00000000,1032.73770000,1722331800000,1.23423662,1269.35005546,17,0.64747225,667.32970720
1722331800000,1032.73770000,1032.24990000,1025.15020000,1025.54090000,1722333600000,2.62003647,2693.03587320,19,1.06183417,1094.43166991
1722333600000,1025.54090000,1030.48300000,1019.91160000,1026.43290000,1722335400000,7.79538058,7996.21643303,38,4.86960145,5003.28271632
1722335400000,1026.43290000,1028.98910000,1019.11310000,1026.78220000,1722337200000,10.02476462,10263.76077964,47,8.59663550,8805.08154318
1722337200000,1026.78220000,1027.21970000,1018.24450000,1021.78160000,1722339000000,17.42676751,17810.15768951,54,8.97064261,9183.67796111
1722339000000,1021.78160000,1026.84830000,1020.00010000,1024.67090000,1722340800000,17.40989681,17819.88560699,69,9.52323286,9758.18951967
1722340800000,1024.67090000,1023.72660000,1016.43380000,1018.45670000,1722342600000,61.72976665,63090.46737897,92,28.82169442,29423.63239866
1722342600000,1018.45670000,1031.66810000,1016.43340000,1031.66810000,1722344400000,24.16037518,24658.92771645,78,7.86727853,8066.95719785
1722344400000,1031.66810000,1035.96370000,1030.32580000,1031.70000000,1722346200000,14.64154204,15134.19227389,49,12.37795295,12799.99500357
1722346200000,1031.70000000,1036.68920000,1017.00000000,1020.25110000,1722348000000,49.56727069,50565.02466462,83,29.71135542,30304.72339884
1722348000000,1020.25110000,1026.88680000,1016.43350000,1023.10960000,1722349800000,49.87624989,50920.08170825,71,46.82777060,47808.90990498
1722349800000,1023.10960000,1032.49380000,1021.75490000,1023.98760000,1722351600000,31.76197567,32582.68595793,35,19.15336956,19640.42706017
1722351600000,1023.98760000,1030.99000000,1016.53050000,1030.17870000,1722353400000,79.58553222,81365.66294513,73,29.26056550,29847.71391695
1722353400000,1030.17870000,1032.14050000,1024.23570000,1028.94750000,1722355200000,19.98190134,20561.29828316,63,1.17790336,1212.75427096
1722355200000,1028.94750000,1029.15330000,1023.55600000,1028.02760000,1722357000000,33.04097042,33915.02573131,56,2.36638211,2433.77905530
1722357000000,1028.02760000,1032.05860000,1020.25380000,1024.40710000,1722358800000,38.61939326,39720.20288288,87,10.05774015,10357.90565093
1722358800000,1024.40710000,1023.21850000,1006.70680000,1011.99970000,1722360600000,25.36270630,25673.72464568,72,8.21624571,8345.10808380
1722360600000,1011.99970000,1012.31730000,1001.22390000,1004.59140000,1722362400000,91.85427193,92679.33408612,71,20.62666790,20770.92038776
1722362400000,1004.59140000,1009.94630000,1001.00000000,1009.63770000,1722364200000,38.05091834,38214.20466216,67,30.69287916,30834.67969130
1722364200000,1009.63770000,1011.05090000,1001.78620000,1008.24040000,1722366000000,33.07427613,33233.54181742,53,3.88481463,3913.29199020
1722366000000,1008.24040000,1008.37770000,996.09520000,999.79410000,1722367800000,150.42067608,150373.61178466,86,10.93495309,10978.86547312
1722367800000,999.79410000,1008.31840000,1000.06280000,1006.73880000,1722369600000,12.86998958,12918.69020615,59,2.79147658,2809.48825812
1722369600000,1006.73880000,1010.96660000,992.85190000,1009.34270000,1722371400000,80.49684129,80421.75823499,68,18.09140960,18144.99213481
1722371400000,1009.34270000,1016.31250000,1009.34090000,1016.00000000,1722373200000,19.94656497,20213.92757815,70,15.02426830,15233.20975863
1722373200000,1016.00000000,1018.37000000,1011.35650000,1012.65460000,1722375000000,108.45881739,110025.17738885,67,41.71728868,42336.16088164
1722375000000,1012.65460000,1017.90430000,1011.84240000,1013.80960000,1722376800000,19.91111878,20189.51123354,38,0.77145421,782.34704363
