Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722296700000,18773.17610000,18769.17450000,18731.00100000,18760.05360000,1722297600000,0.28565408,5356.24765104,39,0.12794891,2399.33367281
1722297600000,18760.05360000,18747.43380000,18688.30040000,18688.30040000,1722298500000,0.66115934,12378.49046720,39,0.14263744,2671.69583472
1722298500000,18688.30040000,18715.82780000,18530.30020000,18697.56810000,1722299400000,4.06695163,75543.60453895,57,0.27360589,5108.57233613
1722299400000,18697.56810000,18749.83550000,18681.87420000,18737.48070000,1722300300000,0.66966780,12539.06469943,82,0.52717851,9869.90438859
1722300300000,18737.48070000,18823.39990000,18727.23630000,18813.89350000,1722301200000,0.95802961,17998.99602900,92,0.64258703,12072.85605929
1722301200000,18813.89350000,18900.29990000,18806.18030000,18900.29980000,1722302100000,0.58782550,11077.13105704,56,0.32583086,6141.75594345
1722302100000,18900.29980000,18891.36870000,18809.62790000,18809.62790000,1722303000000,0.13797700,2600.25393226,24,0.00727066,137.12214305
1722303000000,18809.62790000,18849.67680000,18738.20030000,18763.69450000,1722303900000,1.09823538,20617.32123080,66,0.11678851,2197.55321084
1722303900000,18763.69450000,18772.99250000,18651.70000000,18702.97390000,1722304800000,0.16006334,2994.94898604,26,0.04674007,875.72661342
1722304800000,18702.97390000,18762.49990000,18652.16130000,18758.69990000,1722305700000,3.64066659,68144.51170598,32,3.62034560,67764.84378405
1722305700000,18758.69990000,18725.73060000,18581.28470000,18600.54890000,1722306600000,0.25436549,4741.78049695,25,0.02286046,426.03008154
1722306600000,18600.54890000,18706.69980000,18618.60230000,18667.29990000,1722307500000,0.49299376,9189.81178792,26,0.14922483,2784.42316181
1722307500000,18667.29990000,18721.73560000,18622.18890000,18691.21310000,1722308400000,3.86254290,72231.48376905,104,3.58606914,67067.59413380
1722308400000,18691.21310000,18758.69990000,18732.70010000,18741.01350000,1722309300000,0.13980354,2619.27483478,14,0.01484994,278.55537405
1722309300000,18741.01350000,18758.69980000,18750.00000000,18750.00000000,1722310200000,0.09100037,1707.04537690,12,0.09073675,1702.10250190
1722310200000,18750.00000000,18834.18990000,18758.69980000,18834.18760000,1722311100000,0.45205331,8480.88857084,10,0.45075038,8456.39627854
1722311100000,18834.18760000,18825.73630000,18796.58450000,18796.58450000,1722312000000,0.09466068,1779.36064283,8,0.00100807,18.96370049
1722312000000,18796.58450000,18796.75280000,18758.60890000,18767.99050000,1722312900000,0.07847335,1474.58074136,8,0.01753892,329.53378221
1722312900000,18767.99050000,18768.00230000,18758.60890000,18768.00230000,1722313800000,0.02724034,511.14660188,13,0.02714073,509.27805685
1722313800000,18768.00230000,18759.40610000,18719.75710000,18749.06360000,1722314700000,0.20788369,3895.82477976,23,0.12036740,2254.99978856
1722314700000,18749.06360000,18760.31510000,18718.75270000,18749.06350000,1722315600000,0.03556407,666.54399542,27,0.02007602,376.19226211
1722315600000,18749.06350000,18764.34050000,18670.35230000,18748.35750000,1722316500000,0.14523646,2723.76545665,26,0.09383051,1759.79065171
1722316500000,18748.35750000,18749.06380000,18677.48450000,18691.77730000,1722317400000,0.06742096,1262.12328237,23,0.02783724,520.04547594
1722317400000,18691.77730000,18712.22060000,18664.42500000,18712.22060000,1722318300000,0.13158892,2457.06093080,39,0.00514033,95.95095841
1722318300000,18712.22060000,18737.83350000,18707.84690000,18707.84690000,1722319200000,0.01232020,230.49401709,2,0.01232020,230.49401709
1722319200000,18707.84690000,18760.44340000,18729.61090000,18760.44340000,1722320100000,0.01311512,246.01108451,2,0.01200000,225.12532080
1722320100000,18760.44340000,18787.53490000,18759.32760000,18787.53490000,1722321000000,0.02970330,557.35284072,5,0.02631399,493.68803219
1722321000000,18787.53490000,18816.46530000,18777.44290000,18783.18390000,1722321900000,0.15970458,3000.94130479,24,0.10634079,1997.74803038
1722321900000,18783.18390000,18813.74770000,18777.84100000,18813.74770000,1722322800000,0.03046678,572.68494956,23,0.01609839,302.56661147
1722322800000,18813.74770000,18837.50380000,18809.98710000,18837.50380000,1722323700000,0.32038494,6031.49662580,40,0.20601296,3879.25271243
1722323700000,18837.50380000,18919.49990000,18874.28630000,18919.49990000,1722324600000,0.07895956,1492.98769233,4,0.07895956,1492.98769233
1722324600000,18919.49990000,18906.78220000,18889.08920000,18906.78220000,1722325500000,0.05457058,1031.30530958,5,0.05457058,1031.30530958
1722325500000,18906.78220000,18906.78220000,18906.78220000,18906.78220000,1722326400000,0.0,0.0,0,0.0,0.0
1722326400000,18906.78220000,18930.35230000,18904.88510000,18915.31550000,1722327300000,0.08251038,1560.78459195,30,0.02836785,536.35240228
1722327300000,18915.31550000,18958.00000000,18922.75270000,18922.75270000,1722328200000,0.07487822,1418.20356327,9,0.02734824,518.44793174
1722328200000,18922.75270000,18913.29990000,18902.50780000,18912.51510000,1722329100000,0.12315254,2328.40828105,10,0.02144801,405.55052712
1722329100000,18912.51510000,18911.68750000,18871.34630000,18873.98110000,1722330000000,0.06103831,1153.48620405,32,0.04101733,774.87906961
1722330000000,18873.98110000,18932.09590000,18871.52520000,18910.37500000,1722330900000,0.12591258,2381.06496534,21,0.09869012,1866.57305226
1722330900000,18910.37500000,18922.09160000,18882.52580000,18904.76930000,1722331800000,0.20796187,3932.89375183,44,0.18914776,3577.13667907
1722331800000,18904.76930000,18907.99140000,18871.25750000,18907.99140000,1722332700000,0.22447125,4236.82094066,43,0.06096753,1150.74022792
1722332700000,18907.99140000,18915.58910000,18861.64770000,18862.64240000,1722333600000,0.02207006,416.43173335,9,0.00155835,29.47298631
1722333600000,18862.64240000,18886.36190000,18856.94460000,18857.87420000,1722334500000,0.21951620,4140.93830459,54,0.12471631,2352.76226231
1722334500000,18857.87420000,18862.00290000,18836.79130000,18862.00290000,1722335400000,0.08137270,1533.78641736,37,0.03472989,654.55777553
1722335400000,18862.00290000,18888.65980000,18841.38320000,18881.96820000,1722336300000,0.79769057,15043.17128555,71,0.12565314,2371.74110201
1722336300000,18881.96820000,18917.77740000,18878.30000000,18878.30000000,1722337200000,0.45887593,8669.08322018,30,0.44393116,8386.72693307
1722337200000,18878.30000000,18915.63390000,18868.92550000,18882.42490000,1722338100000,0.02815525,531.65411297,14,0.01537461,290.46760552
1722338100000,18882.42490000,18880.13750000,18857.93180000,18872.38960000,1722339000000,0.07828954,1476.96897895,24,0.03187578,601.25903311
