Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722285000000,18787.07940000,18815.67770000,18766.52990000,18782.71350000,1722285900000,0.72705307,13660.17584844,36,0.54365247,10213.34721979
1722285900000,18782.71350000,18790.49120000,18734.83850000,18788.37540000,1722286800000,0.11159918,2094.82969384,24,0.07397539,1388.64464850
1722286800000,18788.37540000,18792.56350000,18698.30840000,18728.27580000,1722287700000,8.38223983,157066.97984144,82,0.08453676,1585.28426773
1722287700000,18728.27580000,18765.54260000,18695.10120000,18753.03690000,1722288600000,0.12367685,2315.99843971,37,0.02576930,482.63789385
1722288600000,18753.03690000,18852.09980000,18753.05720000,18840.75110000,1722289500000,5.01823883,94334.15967212,145,1.00320301,18864.99723901
1722289500000,18840.75110000,18909.99990000,18770.95680000,18882.83260000,1722290400000,0.52422228,9862.16498193,41,0.36378210,6845.28693228
1722290400000,18882.83260000,18942.40310000,18848.44910000,18898.65690000,1722291300000,0.42424956,8018.32738215,39,0.24086301,4555.22839665
1722291300000,18898.65690000,18958.00000000,18871.18000000,18896.91290000,1722292200000,0.26046676,4925.45964654,27,0.02893154,547.70132780
1722292200000,18896.91290000,18898.89930000,18841.16860000,18850.59150000,1722293100000,0.37955478,7164.90523564,41,0.31485735,5944.03789498
1722293100000,18850.59150000,18854.36060000,18795.09280000,18795.09280000,1722294000000,0.47997568,9037.36838148,51,0.05204905,980.54905354
1722294000000,18795.09280000,18840.35770000,18782.40000000,18783.75220000,1722294900000,0.14434098,2715.75182301,29,0.07114616,1339.07723384
1722294900000,18783.75220000,18815.45160000,18718.18850000,18813.69610000,1722295800000,0.59443740,11155.51961500,49,0.46806891,8782.81089103
1722295800000,18813.69610000,18819.09810000,18750.58040000,18773.17610000,1722296700000,3.69188580,69382.60485069,82,3.25533745,61176.06181350
