Open_time,Open_price,High,Low,Close_price,Volume,Close_time,Quote_asset_volume,Trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Unused_field_ignore
1722805800000,343057.00000000,343083.00000000,342326.00000000,342500.00000000,0.64158000,1722806099999,219835.25092000,121,0.25320000,86785.83069000,0
1722806100000,342488.00000000,343043.00000000,342164.00000000,342459.00000000,0.39543000,1722806399999,135492.21321000,136,0.20455000,70110.06537000,0
1722806400000,342459.00000000,342590.00000000,340892.00000000,341909.00000000,0.78534000,1722806699999,268374.53137000,233,0.43044000,147092.35879000,0
1722806700000,341765.00000000,341976.00000000,340408.00000000,340900.00000000,1.86615000,1722806999999,636580.90024000,332,0.66130000,225653.76406000,0
