Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722295800000,378257.70440000,378837.32610000,377600.00000000,377600.00100000,1722297600000,0.60113017,227307.35884249,296,0.16346464,61863.76494932
1722297600000,377600.00100000,378298.99990000,373000.00000000,374696.97860000,1722299400000,1.39305114,522918.41441335,346,0.26927023,101143.74829439
1722299400000,374696.97860000,376995.28520000,374645.47220000,376995.28440000,1722301200000,0.21321993,80137.43953621,252,0.15741620,59198.82769109
1722301200000,376995.28440000,379149.40720000,376500.85730000,378290.50660000,1722303000000,0.94396714,357469.73794535,203,0.91991958,348384.04995940
1722303000000,378290.50660000,378587.55160000,374100.18810000,374974.61320000,1722304800000,0.40645977,152830.65956571,223,0.10094431,37925.83238530
1722304800000,374974.61320000,376509.52740000,373877.15380000,373877.15380000,1722306600000,0.18305945,68618.84135754,154,0.13985139,52449.98266746
1722306600000,373877.15380000,375972.99990000,373452.01550000,375972.99920000,1722308400000,0.24468925,91640.32947960,123,0.17985312,67373.25324858
1722308400000,375972.99920000,377707.79750000,375551.73090000,376168.19550000,1722310200000,0.09296525,35018.29599644,105,0.08666076,32647.20979109
1722310200000,376168.19550000,377476.60260000,375940.45520000,376871.51840000,1722312000000,0.21028435,79302.32555523,90,0.14869482,56092.28497717
1722312000000,376871.51840000,377915.99400000,376036.00380000,377915.99400000,1722313800000,0.02302041,8674.22725731,69,0.00650457,2453.51297060
1722313800000,377915.99400000,377915.98780000,376818.01330000,377191.05480000,1722315600000,0.03235406,12212.43551201,55,0.02405117,9080.66296451
1722315600000,377191.05480000,378454.92180000,375800.00040000,376394.93150000,1722317400000,0.03783389,14288.41296941,51,0.02849708,10770.00626388
1722317400000,376394.93150000,377551.04450000,375800.00010000,377248.24420000,1722319200000,0.00772562,2908.21432676,35,0.00741107,2789.84747020
1722319200000,377248.24420000,377889.73700000,376472.69120000,377787.37720000,1722321000000,0.01538431,5808.08729127,36,0.01476759,5575.74105614
1722321000000,377787.37720000,377961.85250000,376887.91200000,377941.35210000,1722322800000,0.04191261,15812.76624243,23,0.01981886,7485.85376290
1722322800000,377941.35210000,379209.22170000,377448.70460000,379209.22170000,1722324600000,0.06197332,23473.39359804,24,0.05978186,22645.46239299
1722324600000,379209.22170000,379293.69410000,378391.55010000,378694.35420000,1722326400000,0.00935132,3540.73707054,17,0.00018601,70.51880833
1722326400000,378694.35420000,379270.17520000,377674.03680000,378306.78770000,1722328200000,0.03316518,12556.30239482,49,0.02034641,7708.03758498
1722328200000,378306.78770000,378887.19980000,378000.00000000,378178.59370000,1722330000000,0.05396133,20423.42018735,53,0.03367193,12748.24222352
1722330000000,378178.59370000,378621.86650000,378000.00010000,378571.70830000,1722331800000,0.02455869,9294.54933927,51,0.01459306,5524.39384665
1722331800000,378571.70830000,378609.55410000,376149.00310000,377507.50820000,1722333600000,0.05867133,22152.19531965,92,0.02729733,10311.55174750
1722333600000,377507.50820000,377757.60100000,375800.00000000,376611.33040000,1722335400000,0.04688022,17669.61259355,102,0.03578067,13496.28228131
1722335400000,376611.33040000,377755.99570000,376543.32550000,377755.99570000,1722337200000,0.06207113,23423.52851902,133,0.05335172,20139.14781990
1722337200000,377755.99570000,377789.99990000,376264.39410000,377606.99760000,1722339000000,0.20568952,77598.79774550,145,0.17751793,66991.71919643
1722339000000,377606.99760000,377785.25590000,376580.99450000,376718.19630000,1722340800000,0.07052764,26620.00189024,141,0.05541622,20924.68770703
1722340800000,376718.19630000,377320.37590000,375680.00000000,375937.26730000,1722342600000,0.32760277,123422.72005888,187,0.22222212,83798.01621203
1722342600000,375937.26730000,379889.17970000,375000.00090000,378369.92830000,1722344400000,0.28136803,106162.06924743,177,0.22909373,86477.96694399
1722344400000,378369.92830000,379994.28530000,377427.74810000,378661.73150000,1722346200000,0.22423290,84932.39645887,188,0.12428103,47121.72952149
1722346200000,378661.73150000,379992.99990000,376191.97290000,376191.97290000,1722348000000,1.24588327,469867.16827479,269,0.23896001,90329.51263816
1722348000000,376191.97290000,377968.94730000,375400.00000000,376030.81220000,1722349800000,1.08135054,407520.19205174,232,0.92954199,350431.70634140
1722349800000,376030.81220000,376335.99990000,373056.58550000,373056.58560000,1722351600000,1.17400540,440180.38408858,229,0.20891384,78391.61482348
1722351600000,373056.58560000,375913.26760000,372001.25640000,375290.61340000,1722353400000,0.39085739,145930.49656486,256,0.15556017,58185.23428784
1722353400000,375290.61340000,377145.25140000,375000.00000000,376651.99990000,1722355200000,0.26408587,99310.91784093,245,0.23068235,86769.16925396
1722355200000,376651.99990000,377484.73100000,375619.81160000,377386.05530000,1722357000000,0.14469887,54428.57348385,154,0.04681457,17638.56034865
1722357000000,377386.05530000,377970.20310000,375661.00120000,375661.40380000,1722358800000,0.08941884,33699.30347548,130,0.02768956,10451.82022620
1722358800000,375661.40380000,376612.28730000,373000.00000000,373692.73030000,1722360600000,0.38675475,144963.30909847,170,0.29130580,109265.80648639
1722360600000,373692.73030000,374249.04370000,372600.00000000,373275.99990000,1722362400000,0.16684160,62280.72776876,214,0.09634629,35996.67639394
1722362400000,373275.99990000,373816.28850000,371250.00590000,373345.42160000,1722364200000,0.38495049,143331.68709224,182,0.05724449,21333.82322369
1722364200000,373345.42160000,373345.42160000,371250.00040000,372822.64720000,1722366000000,0.38774876,144388.02346310,187,0.15485504,57668.42901341
1722366000000,372822.64720000,373537.17850000,371000.00000000,371209.16490000,1722367800000,0.91668457,341465.93455799,220,0.78491639,292458.45579354
1722367800000,371209.16490000,373765.88210000,371209.59310000,372545.99400000,1722369600000,0.11771645,43885.67709373,169,0.09971240,37178.44352621
1722369600000,372545.99400000,373776.71810000,369006.30310000,373164.68690000,1722371400000,1.19272032,442370.02319367,224,0.19865948,73676.59095784
1722371400000,373164.68690000,374553.87600000,373164.68720000,373579.07860000,1722373200000,0.16705014,62363.29042370,123,0.14977913,55911.75801496
1722373200000,373579.07860000,374199.99990000,372516.03430000,373779.72880000,1722375000000,0.20484390,76484.82394505,231,0.14382101,53708.85012981
1722375000000,373779.72880000,374995.42160000,373643.30860000,374995.42160000,1722376800000,0.22756687,85226.94787248,197,0.13650535,51134.39091229
