Open_time,Open_price,High,Low,Close_price,Volume,Close_time,Quote_asset_volume,Trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Unused_field_ignore
1722805800000,2939.00000000,2942.00000000,2935.00000000,2935.00000000,1.39200000,1722806099999,4089.29900000,12,0.46300000,1361.71600000,0
1722806100000,2939.00000000,2940.00000000,2932.00000000,2932.00000000,1.87800000,1722806399999,5511.82400000,16,1.27100000,3732.08600000,0
1722806400000,2934.00000000,2935.00000000,2925.00000000,2927.00000000,1.58300000,1722806699999,4636.65100000,14,1.53200000,4487.47600000,0
1722806700000,2930.00000000,2932.00000000,2925.00000000,2926.00000000,2.57500000,1722806999999,7532.47800000,21,0.10100000,295.85500000,0
